Year,Month,VALUE,Datetime_EOM,C2VSim_Date,Sensor,VALUE_ELEV_x,VALUE_ELEV_y
1985.0,7.0,8610.0,1985-07-31,07/31/1985_24:00,15,,124.60745829244357
1985.0,8.0,8510.0,1985-08-31,08/31/1985_24:00,15,,124.41118743866535
1985.0,9.0,8460.0,1985-09-30,09/30/1985_24:00,15,,124.31305201177625
1985.0,10.0,7650.0,1985-10-31,10/31/1985_24:00,15,,122.67586206896551
1985.0,11.0,8460.0,1985-11-30,11/30/1985_24:00,15,,124.31305201177625
,,8640.0,1985-12-31,12/31/1985_24:00,15,,124.66633954857704
1986.0,1.0,8820.0,1986-01-31,01/31/1986_24:00,15,,125.00000000000001
1986.0,2.0,8210.0,1986-02-28,02/28/1986_24:00,15,,123.82237487733072
1986.0,3.0,8410.0,1986-03-31,03/31/1986_24:00,15,,124.21491658488713
1986.0,4.0,8760.0,1986-04-30,04/30/1986_24:00,15,,124.90186457311088
1986.0,5.0,8760.0,1986-05-31,05/31/1986_24:00,15,,124.90186457311088
1986.0,6.0,8026.0,1986-06-30,06/30/1986_24:00,15,,123.4612365063788
1986.0,7.0,8869.0,1986-07-31,07/31/1986_24:00,15,,125.00000000000001
1986.0,8.0,8101.0,1986-08-31,08/31/1986_24:00,15,,123.60843964671245
1986.0,9.0,8460.0,1986-09-30,09/30/1986_24:00,15,,124.31305201177625
1986.0,10.0,8100.0,1986-10-31,10/31/1986_24:00,15,,123.6064769381747
1986.0,11.0,8340.0,1986-11-30,11/30/1986_24:00,15,,124.07752698724238
1986.0,12.0,8550.0,1986-12-31,12/31/1986_24:00,15,,124.48969578017663
1987.0,1.0,8410.0,1987-01-31,01/31/1987_24:00,15,,124.21491658488713
1987.0,2.0,8440.0,1987-02-28,02/28/1987_24:00,15,,124.27379784102061
1987.0,3.0,8002.0,1987-03-31,03/31/1987_24:00,15,,123.41413150147201
1987.0,4.0,8190.0,1987-04-30,04/30/1987_24:00,15,,123.78312070657506
1987.0,5.0,8256.0,1987-05-31,05/31/1987_24:00,15,,123.91265947006869
1987.0,6.0,8500.0,1987-06-30,06/30/1987_24:00,15,,124.39156035328753
1987.0,7.0,8531.0,1987-07-31,07/31/1987_24:00,15,,124.45240431795878
1987.0,8.0,8073.0,1987-08-31,08/31/1987_24:00,15,,123.55348380765454
1987.0,9.0,8700.0,1987-09-30,09/30/1987_24:00,15,,124.78410206084396
1987.0,10.0,8040.0,1987-10-31,10/31/1987_24:00,15,,123.48871442590774
1987.0,11.0,8223.0,1987-11-30,11/30/1987_24:00,15,,123.84789008832188
1987.0,12.0,8242.0,1987-12-31,12/31/1987_24:00,15,,123.88518155053973
1988.0,1.0,7955.0,1988-01-31,01/31/1988_24:00,15,,123.32188420019625
1988.0,2.0,8471.0,1988-02-29,02/29/1988_24:00,15,,124.33464180569185
1988.0,3.0,8021.0,1988-03-31,03/31/1988_24:00,15,,123.45142296368988
1988.0,4.0,8120.0,1988-04-30,04/30/1988_24:00,15,,123.6457311089303
1988.0,5.0,8242.0,1988-05-31,05/31/1988_24:00,15,,123.88518155053973
1988.0,6.0,8320.0,1988-06-30,06/30/1988_24:00,15,,124.03827281648675
1988.0,7.0,8120.0,1988-07-31,07/31/1988_24:00,15,,123.6457311089303
1988.0,8.0,7903.0,1988-08-31,08/31/1988_24:00,15,,123.21982335623159
1988.0,9.0,8150.0,1988-09-30,09/30/1988_24:00,15,,123.70461236506378
1988.0,10.0,8501.0,1988-10-31,10/31/1988_24:00,15,,124.39352306182533
1988.0,11.0,8077.0,1988-11-30,11/30/1988_24:00,15,,123.56133464180567
1988.0,12.0,7838.0,1988-12-31,12/31/1988_24:00,15,,123.09224730127575
1989.0,1.0,7955.0,1989-01-31,01/31/1989_24:00,15,,123.32188420019625
1989.0,2.0,8148.0,1989-02-28,02/28/1989_24:00,15,,123.70068694798823
