ITHTS,HQTS(1),HQTS(2),HQTS(3),HQTS(4),HQTS(5),HQTS(6),HQTS(7),HQTS(8),HQTS(9),HQTS(10),HQTS(11),HQTS(12)
09/30/1981_24:00,447.95,209.58,125.29,9999.0,9999.0,9999.0,124.21491658488713,200.6153846153846,236.1872586872587,9999,9999,9999
10/31/1981_24:00,445.23,210.43,125.27,9999.0,9999.0,9999.0,124.01864573110893,199.3,231.03793103448277,9999,9999,9999
11/30/1981_24:00,447.31,212.81,125.57,9999.0,9999.0,9999.0,123.46908734052992,203.5032258064516,233.17447306791567,9999,9999,9999
12/31/1981_24:00,452.33,212.57,127.65,9999.0,9999.0,9999.0,123.19430814524043,206.90000000000003,235.26447876447878,9999,9999,9999
01/31/1982_24:00,445.65,209.03,126.83,9999.0,9999.0,9999.0,123.6457311089303,205.8457142857143,235.17181467181467,9999,9999,9999
02/28/1982_24:00,449.4,216.21,126.81,9999.0,9999.0,9999.0,124.01864573110893,205.16571428571427,235.45752895752895,9999,9999,9999
03/31/1982_24:00,456.83,219.39,126.96,9999.0,9999.0,9999.0,124.11678115799802,208.04347826086956,233.56323185011712,9999,9999,9999
04/30/1982_24:00,467.05,224.07,127.42,9999.0,9999.0,9999.0,124.80372914622177,207.59000000000003,237.83333333333334,9999,9999,9999
05/31/1982_24:00,463.45,228.74,126.5,9999.0,9999.0,9999.0,124.80372914622177,208.37826086956522,237.73333333333335,9999,9999,9999
06/30/1982_24:00,452.06,234.1,126.62,9999.0,9999.0,9999.0,123.54759568204122,209.16956521739132,237.24666666666667,9999,9999,9999
07/31/1982_24:00,448.34,230.42,126.82,9999.0,9999.0,9999.0,123.80274779195288,208.67826086956524,238.23333333333335,9999,9999,9999
08/31/1982_24:00,444.1,227.86,127.2,9999.0,9999.0,9999.0,122.58390804597701,208.18695652173912,237.53333333333333,9999,9999,9999
09/30/1982_24:00,440.28,224.4,126.97,9999.0,9999.0,9999.0,123.6457311089303,206.54,234.18618266978925,9999,9999,9999
10/31/1982_24:00,433.02,218.85,126.11,9999.0,9999.0,9999.0,124.01864573110893,200.6153846153846,225.75454545454545,9999,9999,9999
