STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,Datetime
NAT,M,15,STORAGE,19810301 0000,19810228 0000,8410.0,,AF,1981-03-01
NAT,M,15,STORAGE,19810401 0000,19810401 0000,8120.0,,AF,1981-04-01
NAT,M,15,STORAGE,19810501 0000,19810531 0000,7700.0,,AF,1981-05-01
NAT,M,15,STORAGE,19810601 0000,19810630 0000,7930.0,,AF,1981-06-01
NAT,M,15,STORAGE,19810701 0000,19810731 0000,8360.0,,AF,1981-07-01
NAT,M,15,STORAGE,19810801 0000,19810831 0000,8360.0,,AF,1981-08-01
NAT,M,15,STORAGE,19810901 0000,19810930 0000,8410.0,,AF,1981-09-01
NAT,M,15,STORAGE,19811001 0000,19811031 0000,8310.0,,AF,1981-10-01
NAT,M,15,STORAGE,19811101 0000,19811130 0000,8030.0,,AF,1981-11-01
NAT,M,15,STORAGE,19811201 0000,19811231 0000,7890.0,,AF,1981-12-01
NAT,M,15,STORAGE,19820101 0000,19820131 0000,8120.0,,AF,1982-01-01
NAT,M,15,STORAGE,19820201 0000,19820301 0000,8310.0,,AF,1982-02-01
NAT,M,15,STORAGE,19820301 0000,19820331 0000,8360.0,,AF,1982-03-01
NAT,M,15,STORAGE,19820401 0000,19820430 0000,8710.0,,AF,1982-04-01
NAT,M,15,STORAGE,19820501 0000,19820531 0000,8710.0,,AF,1982-05-01
NAT,M,15,STORAGE,19820601 0000,19820630 0000,8070.0,,AF,1982-06-01
NAT,M,15,STORAGE,19820701 0000,19820731 0000,8200.0,,AF,1982-07-01
NAT,M,15,STORAGE,19820801 0000,19820831 0000,7610.0,,AF,1982-08-01
NAT,M,15,STORAGE,19820901 0000,19820930 0000,8120.0,,AF,1982-09-01
NAT,M,15,STORAGE,19821001 0000,19821031 0000,8310.0,,AF,1982-10-01
NAT,M,15,STORAGE,19821101 0000,19821130 0000,8120.0,,AF,1982-11-01
NAT,M,15,STORAGE,19821201 0000,19821231 0000,7930.0,,AF,1982-12-01
NAT,M,15,STORAGE,19830101 0000,19830131 0000,7980.0,,AF,1983-01-01
NAT,M,15,STORAGE,19830201 0000,19830228 0000,8170.0,,AF,1983-02-01
NAT,M,15,STORAGE,19830301 0000,19830331 0000,8120.0,,AF,1983-03-01
NAT,M,15,STORAGE,19830401 0000,19830430 0000,7610.0,,AF,1983-04-01
NAT,M,15,STORAGE,19830501 0000,19830531 0000,7840.0,,AF,1983-05-01
NAT,M,15,STORAGE,19830601 0000,19830630 0000,7890.0,,AF,1983-06-01
NAT,M,15,STORAGE,19830701 0000,19830731 0000,8610.0,,AF,1983-07-01
NAT,M,15,STORAGE,19830801 0000,19830831 0000,8510.0,,AF,1983-08-01
NAT,M,15,STORAGE,19830901 0000,19830930 0000,8360.0,,AF,1983-09-01
NAT,M,15,STORAGE,19831001 0000,19831031 0000,8360.0,,AF,1983-10-01
NAT,M,15,STORAGE,19831101 0000,19831130 0000,7890.0,,AF,1983-11-01
NAT,M,15,STORAGE,19831201 0000,19831231 0000,8260.0,,AF,1983-12-01
NAT,M,15,STORAGE,19840101 0000,19840131 0000,8660.0,,AF,1984-01-01
NAT,M,15,STORAGE,19840201 0000,19840229 0000,8260.0,,AF,1984-02-01
NAT,M,15,STORAGE,19840301 0000,19840331 0000,8610.0,,AF,1984-03-01
NAT,M,15,STORAGE,19840401 0000,19840430 0000,8410.0,,AF,1984-04-01
NAT,M,15,STORAGE,19840501 0000,19840531 0000,8210.0,,AF,1984-05-01
NAT,M,15,STORAGE,19840601 0000,19840630 0000,8410.0,,AF,1984-06-01
NAT,M,15,STORAGE,19840701 0000,19840731 0000,8210.0,,AF,1984-07-01
NAT,M,15,STORAGE,19840801 0000,19840831 0000,8460.0,,AF,1984-08-01
NAT,M,15,STORAGE,19840901 0000,19840930 0000,8260.0,,AF,1984-09-01
NAT,M,15,STORAGE,19841001 0000,19841031 0000,7980.0,,AF,1984-10-01
NAT,M,15,STORAGE,19841101 0000,19841130 0000,7930.0,,AF,1984-11-01
NAT,M,15,STORAGE,19841201 0000,19841231 0000,8030.0,,AF,1984-12-01
NAT,M,15,STORAGE,19850101 0000,19850131 0000,8210.0,,AF,1985-01-01
NAT,M,15,STORAGE,19850201 0000,19850228 0000,7890.0,,AF,1985-02-01
NAT,M,15,STORAGE,19850301 0000,19850228 0000,8070.0,,AF,1985-03-01
NAT,M,15,STORAGE,19850401 0000,19850430 0000,8170.0,,AF,1985-04-01
NAT,M,15,STORAGE,19850501 0000,19850531 0000,8170.0,,AF,1985-05-01
NAT,M,15,STORAGE,19850601 0000,19850630 0000,8410.0,,AF,1985-06-01
NAT,M,15,STORAGE,19850701 0000,19850731 0000,8610.0,,AF,1985-07-01
NAT,M,15,STORAGE,19850801 0000,19850831 0000,8510.0,,AF,1985-08-01
NAT,M,15,STORAGE,19850901 0000,19850930 0000,8460.0,,AF,1985-09-01
NAT,M,15,STORAGE,19851001 0000,19851031 0000,7650.0,,AF,1985-10-01
NAT,M,15,STORAGE,19851101 0000,19851101 0000,8460.0,,AF,1985-11-01
NAT,M,15,STORAGE,19860101 0000,19860101 0000,8820.0,,AF,1986-01-01
NAT,M,15,STORAGE,19860201 0000,19860228 0000,8210.0,,AF,1986-02-01
NAT,M,15,STORAGE,19860301 0000,19860331 0000,8410.0,,AF,1986-03-01
NAT,M,15,STORAGE,19860401 0000,19860430 0000,8760.0,,AF,1986-04-01
NAT,M,15,STORAGE,19860501 0000,19860501 0000,8760.0,,AF,1986-05-01
NAT,M,15,STORAGE,19860601 0000,19860630 0000,8026.0,,AF,1986-06-01
NAT,M,15,STORAGE,19860701 0000,19860731 0000,8869.0,,AF,1986-07-01
NAT,M,15,STORAGE,19860801 0000,19860831 0000,8101.0,,AF,1986-08-01
NAT,M,15,STORAGE,19860901 0000,19861001 0000,8460.0,,AF,1986-09-01
NAT,M,15,STORAGE,19861001 0000,19861031 0000,8100.0,,AF,1986-10-01
NAT,M,15,STORAGE,19861101 0000,19861201 0000,8340.0,,AF,1986-11-01
NAT,M,15,STORAGE,19861201 0000,19861230 0000,8550.0,,AF,1986-12-01
NAT,M,15,STORAGE,19870101 0000,19870131 0000,8410.0,,AF,1987-01-01
NAT,M,15,STORAGE,19870201 0000,19870303 0000,8440.0,,AF,1987-02-01
NAT,M,15,STORAGE,19870301 0000,19870328 0000,8002.0,,AF,1987-03-01
NAT,M,15,STORAGE,19870401 0000,19870430 0000,8190.0,,AF,1987-04-01
NAT,M,15,STORAGE,19870501 0000,19870531 0000,8256.0,,AF,1987-05-01
NAT,M,15,STORAGE,19870601 0000,19870701 0000,8500.0,,AF,1987-06-01
NAT,M,15,STORAGE,19870701 0000,19870730 0000,8531.0,,AF,1987-07-01
NAT,M,15,STORAGE,19870801 0000,19870731 0000,8073.0,,AF,1987-08-01
NAT,M,15,STORAGE,19870901 0000,19870829 0000,8700.0,,AF,1987-09-01
NAT,M,15,STORAGE,19871001 0000,19870928 0000,8040.0,,AF,1987-10-01
NAT,M,15,STORAGE,19871101 0000,19871029 0000,8223.0,,AF,1987-11-01
NAT,M,15,STORAGE,19871201 0000,19871128 0000,8242.0,,AF,1987-12-01
NAT,M,15,STORAGE,19880101 0000,19881228 0000,7955.0,,AF,1988-01-01
NAT,M,15,STORAGE,19880201 0000,19880131 0000,8471.0,,AF,1988-02-01
NAT,M,15,STORAGE,19880301 0000,19880229 0000,8021.0,,AF,1988-03-01
NAT,M,15,STORAGE,19880401 0000,19880331 0000,8120.0,,AF,1988-04-01
NAT,M,15,STORAGE,19880501 0000,19880430 0000,8242.0,,AF,1988-05-01
NAT,M,15,STORAGE,19880601 0000,19880529 0000,8320.0,,AF,1988-06-01
NAT,M,15,STORAGE,19880701 0000,19880628 0000,8120.0,,AF,1988-07-01
NAT,M,15,STORAGE,19880801 0000,19880729 0000,7903.0,,AF,1988-08-01
NAT,M,15,STORAGE,19880901 0000,19880829 0000,8150.0,,AF,1988-09-01
NAT,M,15,STORAGE,19881001 0000,19880928 0000,8501.0,,AF,1988-10-01
NAT,M,15,STORAGE,19881101 0000,19881029 0000,8077.0,,AF,1988-11-01
NAT,M,15,STORAGE,19881201 0000,19881128 0000,7838.0,,AF,1988-12-01
NAT,M,15,STORAGE,19890101 0000,19891230 0000,7955.0,,AF,1989-01-01
NAT,M,15,STORAGE,19890201 0000,19890131 0000,8148.0,,AF,1989-02-01
NAT,M,15,STORAGE,19890301 0000,19890228 0000,7890.0,,AF,1989-03-01
NAT,M,15,STORAGE,19890401 0000,19890331 0000,8620.0,,AF,1989-04-01
NAT,M,15,STORAGE,19890501 0000,19890430 0000,8060.0,,AF,1989-05-01
NAT,M,15,STORAGE,19890601 0000,19890529 0000,7870.0,,AF,1989-06-01
NAT,M,15,STORAGE,19890701 0000,19890628 0000,8631.0,,AF,1989-07-01
NAT,M,15,STORAGE,19890801 0000,19890729 0000,7990.0,,AF,1989-08-01
